# K. A. Miernik
#ID	WORDS	CH X	CH Y	TITLE
1006	2	16384	0	Mod 10 Ch 6
1007	2	16384	0	Mod 10 Ch 7
1008	2	16384	0	Mod 10 Ch 8
1009	2	16384	0	Mod 10 Ch 9
1010	2	16384	0	Mod 10 Ch 10
1011	2	16384	0	Mod 10 Ch 11
1012	2	16384	0	Mod 10 Ch 12
1013	2	16384	0	Mod 10 Ch 13
1014	2	16384	0	Mod 10 Ch 14
1015	2	16384	0	Mod 10 Ch 15
1100	2	16384	0	Mod 11 Ch 0
1101	2	16384	0	Mod 11 Ch 1
1102	2	16384	0	Mod 11 Ch 2
1103	2	16384	0	Mod 11 Ch 3
1104	2	16384	0	Mod 11 Ch 4
1105	2	16384	0	Mod 11 Ch 5
1106	2	16384	0	Mod 11 Ch 6
1107	2	16384	0	Mod 11 Ch 7
1108	2	16384	0	Mod 11 Ch 8
1109	2	16384	0	Mod 11 Ch 9
1110	2	16384	0	Mod 11 Ch 10
1111	2	16384	0	Mod 11 Ch 11
1112	2	16384	0	Mod 11 Ch 12
1113	2	16384	0	Mod 11 Ch 13
1114	2	16384	0	Mod 11 Ch 14
1115	2	16384	0	Mod 11 Ch 15
1200	2	16384	0	Mod 12 Ch 0
1201	2	16384	0	Mod 12 Ch 1
1202	2	16384	0	Mod 12 Ch 2
1203	2	16384	0	Mod 12 Ch 3
1204	2	16384	0	Mod 12 Ch 4
1205	2	16384	0	Mod 12 Ch 5
1206	2	16384	0	Mod 12 Ch 6
1207	2	16384	0	Mod 12 Ch 7
1208	2	16384	0	Mod 12 Ch 8
1209	2	16384	0	Mod 12 Ch 9
1210	2	16384	0	Mod 12 Ch 10
1211	2	16384	0	Mod 12 Ch 11
1212	2	16384	0	Mod 12 Ch 12
1213	2	16384	0	Mod 12 Ch 13
1214	2	16384	0	Mod 12 Ch 14
1215	2	16384	0	Mod 12 Ch 15
1300	2	16384	0	Mod 13 Ch 0
1301	2	16384	0	Mod 13 Ch 1
1302	2	16384	0	Mod 13 Ch 2
1303	2	16384	0	Mod 13 Ch 3
1304	2	16384	0	Mod 13 Ch 4
1305	2	16384	0	Mod 13 Ch 5
1306	2	16384	0	Mod 13 Ch 6
1307	2	16384	0	Mod 13 Ch 7
1308	2	16384	0	Mod 13 Ch 8
1309	2	16384	0	Mod 13 Ch 9
1310	2	16384	0	Mod 13 Ch 10
1311	2	16384	0	Mod 13 Ch 11
1312	2	16384	0	Mod 13 Ch 12
1313	2	16384	0	Mod 13 Ch 13
1314	2	16384	0	Mod 13 Ch 14
1315	2	16384	0	Mod 13 Ch 15
